Ven,Opp,WinMar,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
1,PHO,-21,1,33.35,10,25,0.4,1,7,0.143,3,6,0.5,2,5,7,3,0,1,4,2,24,10.2,-9,0.434,0.42,5.3,15.9,10.1,20.7,0,2.5,12.6,38.8,86,119,0.7
0,MIL,14,1,38.04,16,25,0.64,7,13,0.538,3,5,0.6,1,4,5,4,3,0,3,1,42,34.4,21,0.772,0.78,3.1,11.5,7.4,22.1,4,0,9.9,37.1,132,105,18
0,GSW,-4,1,41.57,9,19,0.474,3,10,0.3,6,6,1,0,8,8,6,1,0,1,1,27,23.5,3,0.624,0.553,0,19.9,10.2,26.7,1.2,0,4.4,23.4,136,114,10.4
0,NYK,7,1,36.27,9,24,0.375,3,13,0.231,4,4,1,2,7,9,2,0,0,3,4,25,12.1,-4,0.485,0.438,5.7,22.5,13.6,8.7,0,0,10.4,34.9,99,114,-6
0,PHI,-5,1,38.54,5,14,0.357,0,3,0,7,9,0.778,1,8,9,6,2,2,6,3,17,11.9,-5,0.473,0.357,2.9,29.9,14.6,23.3,2.5,5.3,25,26.6,87,106,-0.5
0,CLE,10,1,36.28,6,19,0.316,2,8,0.25,4,4,1,1,8,9,5,2,1,2,5,18,12.4,19,0.434,0.368,2.6,20.6,11.7,18.7,2.7,2.4,8.8,26.5,96,98,-0.7
1,MIL,-5,1,39.48,7,20,0.35,4,10,0.4,7,8,0.875,1,8,9,4,2,2,4,3,25,17.5,-7,0.531,0.45,2.7,20.1,11.8,16.3,2.4,4.2,14.5,29.2,103,114,2.2
0,SAS,-2,1,37.30,6,20,0.3,1,6,0.167,6,6,1,3,5,8,3,0,2,0,1,19,14.1,-9,0.42,0.325,7.8,16,11.5,11.9,0,4.1,0,28.4,106,114,-1
1,NYK,-3,1,39.51,12,21,0.571,6,11,0.545,6,6,1,1,5,6,9,2,1,2,3,36,34.1,8,0.761,0.714,3.1,14.7,9,46,2.7,2.2,7.8,31.6,153,120,20.9
0,NYK,24,1,29.26,6,14,0.429,3,8,0.375,4,4,1,0,3,3,1,1,0,2,0,19,12.2,10,0.603,0.536,0,10.4,5.8,6.2,2,0,11.3,31,108,95,1.7
0,IND,3,1,42.12,7,21,0.333,0,7,0,10,11,0.909,1,11,12,1,0,0,8,4,24,6.8,12,0.464,0.333,2.6,27.1,15.1,4.8,0,0,23.6,35.3,77,96,-9.3
1,IND,19,1,37.02,11,19,0.579,4,9,0.444,7,8,0.875,0,7,7,4,2,2,4,1,33,27.6,19,0.733,0.684,0,22.1,12.3,20.1,2.8,5.2,15.1,34.4,129,103,12.1
1,PHI,-12,1,32.14,7,17,0.412,2,7,0.286,4,4,1,1,10,11,5,0,0,7,3,20,9.9,-4,0.533,0.471,3.7,33.8,19.5,28,0,0,27.2,36.2,87,115,-4.1
0,CHI,2,1,40.17,8,24,0.333,1,5,0.2,6,6,1,4,8,12,4,0,2,4,2,23,14,11,0.432,0.354,11.3,23.8,17.4,13.8,0,4.1,13.1,33.4,101,124,-7.4
0,NOP,12,1,37.44,9,18,0.5,0,4,0,9,11,0.818,1,7,8,3,1,0,2,1,27,20.7,12,0.591,0.5,3.3,17.8,11.6,14.4,1.3,0,8.1,30.7,116,97,4
0,CHO,-9,1,35.18,5,19,0.263,0,7,0,2,3,0.667,1,5,6,3,1,0,3,5,12,0.6,-7,0.295,0.263,3.1,16.6,9.6,12.7,1.4,0,12.9,28.9,63,116,-15.5
0,POR,-4,1,40.44,8,19,0.421,0,6,0,11,14,0.786,1,9,10,7,0,0,4,4,27,18.4,2,0.537,0.421,2.7,25.9,14,29.9,0,0,13.7,33.3,107,120,-2.5
